,sigma,y,z
72,-360184836.95397526,0.07868316759816583,0.035933398624663174
73,-366678543.64851594,0.07924338156787401,0.03468049131267209
74,-373079940.9805984,0.07978364644004629,0.03341885337245562
75,-379387417.43267715,0.08030382620589027,0.03214880241461833
76,-385599385.1312864,0.08080378991293172,0.030870658167696918
77,-391714280.2467779,0.08128341169798106,0.029584742397670352
78,-397730563.3870076,0.08174257081881882,0.028291378826956964
79,-403646719.98486817,0.08218115168459178,0.026990893052919133
80,-409461260.67957425,0.08259904388491239,0.02568361246589578
81,-415172721.69160074,0.08299614221765401,0.02436986616678366
82,-420779665.1911813,0.08337234671543498,0.023049984884188024
83,-426280679.6602745,0.08372756267078481,0.02172430089116335
84,-431674380.24790585,0.08406170065998635,0.02039314792156546
85,-436959409.11879635,0.0843746765655877,0.019056861086035753
86,-442134435.7951911,0.08466641159757836,0.01771577678763899
87,-447198157.4917987,0.08493683231322412,0.01637023263717548
88,-452149299.44376177,0.085185870635556,0.01502056736818948
89,-456986615.2275714,0.0854134638705081,0.013667120751694756
90,-461708887.0748477,0.08561955472270068,0.012310233510639161
91,-466314926.1789065,0.08580409130986379,0.010950247234129313
92,-470803572.9940356,0.08596702717589848,0.00958750429143746
93,-475173697.52740324,0.08610832130257182,0.008222347745811794
94,-479424199.62352854,0.08622793811984301,0.0068551212681122
95,-483554009.24123937,0.08632584751481799,0.005486169050292834
96,-487562086.72304976,0.08640202483933018,0.004115835718753698
97,-491447423.05688775,0.0864564509161455,0.0027444662475828467
98,-495209040.1301093,0.08648911204379019,0.001372405871710886
99,-498845990.9757322,0.0865,5.2965974063123024e-18
100,0.0,0.0,0.0
101,-5038848.393694264,0.0008737373737373737,0.0
102,-10077696.787388528,0.0017474747474747474,0.0
103,-15116545.181082794,0.002621212121212121,0.0
104,-20155393.574777056,0.003494949494949495,0.0
105,-25194241.968471322,0.004368686868686868,0.0
106,-30233090.36216559,0.005242424242424242,0.0
107,-35271938.75585985,0.006116161616161616,0.0
108,-40310787.14955411,0.00698989898989899,0.0
109,-45349635.54324838,0.007863636363636363,0.0
110,-50388483.936942644,0.008737373737373736,0.0
111,-55427332.3306369,0.00961111111111111,0.0
112,-60466180.72433118,0.010484848484848484,0.0
113,-65505029.118025444,0.011358585858585858,0.0
114,-70543877.5117197,0.012232323232323232,0.0
115,-75582725.90541397,0.013106060606060605,0.0
116,-80621574.29910822,0.01397979797979798,0.0
117,-85660422.6928025,0.014853535353535353,0.0
118,-90699271.08649676,0.015727272727272725,0.0
119,-95738119.48019102,0.0166010101010101,0.0
120,-100776967.87388529,0.017474747474747473,0.0
121,-105815816.26757956,0.018348484848484847,0.0
122,-110854664.6612738,0.01922222222222222,0.0
