,sigma,y,z,shearstress,V.Mises
82,540840779.8618969,0.08337234671543498,0.023049984884188024,254905883.3030019,698168874.40581
83,539436863.8964194,0.08372756267078481,0.02172430089116335,254082098.44032946,696179049.0771235
84,537897147.5852294,0.08406170065998635,0.02039314792156546,253248845.79310817,694073681.2954015
85,536222018.5436744,0.0843746765655877,0.019056861086035753,252406340.79974064,691853261.7533845
86,534411898.47653246,0.08466641159757836,0.01771577678763899,251554801.2278584,689518332.8205667
87,532467243.0718502,0.08493683231322412,0.01637023263717548,250694447.1194994,687069488.7667413
88,530388541.8862264,0.085185870635556,0.01502056736818948,249825500.73571444,684507376.0141294
89,528176318.221568,0.0854134638705081,0.013667120751694756,248948186.50061333,681832693.4196713
90,525831128.99335235,0.08561955472270068,0.012310233510639161,248062730.94486797,679046192.5892092
91,523353564.5904261,0.08580409130986379,0.010950247234129313,247169362.64868417,676148678.2254149
92,520744248.72637826,0.08596702717589848,0.00958750429143746,246268312.18425766,673141008.5114776
93,518003838.2825237,0.08610832130257182,0.008222347745811794,245359812.05772898,670024095.5327197
94,515133023.1425366,0.08622793811984301,0.0068551212681122,244444096.65065148,666798905.7384754
95,512132526.0187759,0.08632584751481799,0.005486169050292834,243521402.16098657,663466460.4467441
96,509003102.27034676,0.08640202483933018,0.004115835718753698,242591966.54364243,660027836.3943238
97,505745539.7129424,0.0864564509161455,0.0027444662475828467,241656029.45057023,656484166.33532
98,502360658.42051625,0.08648911204379019,0.001372405871710886,240713832.17043263,652836639.6911407
99,498849310.5188319,0.0865,5.2965974063123024e-18,239765617.56786117,649086503.2553115
100,0.0,0.0,0.0,140737733.84998614,243764905.5702822
101,5038881.924432646,0.0008737373737373737,0.0,140748945.53300294,243836394.61123326
102,10077763.848865291,0.0017474747474747474,0.0,140753896.02373388,244001104.63228187
103,15116645.773297938,0.002621212121212121,0.0,140752585.32217896,244258845.90750685
104,20155527.697730582,0.003494949494949495,0.0,140745013.42833817,244609324.66200724
105,25194409.622163225,0.004368686868686868,0.0,140731180.3422115,245052144.73198462
106,30233291.546595875,0.005242424242424242,0.0,140711086.063799,245586809.78729907
107,35272173.471028514,0.006116161616161616,0.0,140684730.59310058,246212726.0876866
108,40311055.395461164,0.00698989898989899,0.0,140652113.9301163,246929205.73744854
109,45349937.31989381,0.007863636363636363,0.0,140613236.07484615,247735470.39784098
