,sigma,y,z,shearstress,V.Mises
102,10077763.848865291,0.0017474747474747474,0.0,140637159.6716492,243799084.01329228
103,15116645.773297938,0.002621212121212121,0.0,140635848.97009426,244057040.51727918
104,20155527.697730582,0.003494949494949495,0.0,140628277.07625347,244407819.50887033
105,25194409.622163225,0.004368686868686868,0.0,140614443.99012682,244851023.7923601
106,30233291.546595875,0.005242424242424242,0.0,140594349.7117143,245386155.74298587
107,35272173.471028514,0.006116161616161616,0.0,140567994.24101588,246012620.0750627
108,40311055.395461164,0.00698989898989899,0.0,140535377.5780316,246729727.11064968
109,45349937.31989381,0.007863636363636363,0.0,140496499.72276145,247536696.50773403
110,50388819.24432645,0.008737373737373736,0.0,140451360.67520544,248432661.40221447
111,55427701.1687591,0.00961111111111111,0.0,140399960.43536356,249416672.91423845
112,60466583.09319175,0.010484848484848484,0.0,140342299.0032358,250487704.96674436
113,65505465.01762439,0.011358585858585858,0.0,140278376.37882215,251644659.3623848
114,70544346.94205703,0.012232323232323232,0.0,140208192.56212264,252886371.06434405
115,75583228.86648968,0.013106060606060605,0.0,140131747.55313727,254211613.62686154
116,80622110.79092233,0.01397979797979798,0.0,140049041.351866,255619104.72246355
117,85660992.71535498,0.014853535353535353,0.0,139960073.9583089,257107511.7148972
118,90699874.63978761,0.015727272727272725,0.0,139864845.37246594,258675457.2294492
119,95738756.56422026,0.0166010101010101,0.0,139763355.59433705,260321524.67560253
120,100777638.4886529,0.017474747474747473,0.0,139655604.62392232,262044263.6807178
121,105816520.41308555,0.018348484848484847,0.0,139541592.4612217,263842195.39750272
122,110855402.3375182,0.01922222222222222,0.0,139421319.10623524,265713817.65234014
123,115894284.26195084,0.020095959595959594,0.0,139294784.55896288,267657609.90596458
124,120933166.1863835,0.020969696969696968,0.0,139161988.8194047,269672038.00242215
125,125972048.11081612,0.021843434343434342,0.0,139022931.88756058,271755558.686614
126,131010930.03524879,0.022717171717171716,0.0,138877613.76343066,273906623.87495255
127,136049811.95968145,0.02359090909090909,0.0,138726034.4470148,276123684.6676643
128,141088693.88411406,0.024464646464646463,0.0,138568193.9383131,278405195.0950325
129,146127575.80854672,0.025338383838383837,0.0,138404092.23732552,280749615.5933199
130,151166457.73297936,0.02621212121212121,0.0,138233729.3440521,283155416.20924467
131,156205339.65741202,0.027085858585858585,0.0,138057105.25849277,285621079.5346714
132,161244221.58184466,0.02795959595959596,0.0,137874219.9806476,288145103.37562746
133,166283103.5062773,0.028833333333333332,0.0,137685073.51051652,290726003.1618575
134,171321985.43070996,0.029707070707070706,0.0,137489665.8480996,293362314.10490793
135,176360867.35514262,0.03058080808080808,0.0,137287996.9933968,296052593.114188
136,181399749.27957523,0.03145454545454545,0.0,137080066.94640812,298795420.4816198
137,186438631.20400786,0.032328282828282824,0.0,136865875.7071336,301589401.34637636
138,191477513.12844053,0.0332020202020202,0.0,136645423.27557316,304433166.9518513
139,196516395.05287316,0.03407575757575757,0.0,136418709.6517269,307325375.7074144
140,201555276.9773058,0.034949494949494946,0.0,136185734.8355947,310264714.0677315
141,206594158.90173846,0.03582323232323232,0.0,135946498.8271767,313249897.24247223
142,211633040.8261711,0.03669696969696969,0.0,135701001.62647283,316279669.74912524
143,216671922.75060377,0.03757070707070707,0.0,135449243.23348305,319352805.82141966
144,221710804.6750364,0.03844444444444444,0.0,135191223.6482074,322468109.68551767
145,226749686.59946904,0.039318181818181815,0.0,134926942.8706459,325624415.7157338
146,231788568.52390167,0.04019191919191919,0.0,134656400.90079853,328820588.4810578
147,236827450.44833434,0.04106565656565656,0.0,134379597.73866525,332055522.6932308
148,241866332.372767,0.041939393939393936,0.0,134096533.38424614,335328143.06656474
149,246905214.29719964,0.04281313131313131,0.0,133807207.83754115,338637404.09910846
150,251944096.22163224,0.043686868686868684,0.0,133511621.09855026,341982289.78416944
151,256982978.1460649,0.04456060606060606,0.0,133209773.16727354,345361813.26060104
152,262021860.07049757,0.04543434343434343,0.0,132901664.04371092,348775016.40967005
153,267060741.9949302,0.046308080808080805,0.0,132587293.72786243,352220969.40573835
154,272099623.9193629,0.04718181818181818,0.0,132266662.21972808,355698770.22742385
155,277138505.8437955,0.04805555555555555,0.0,131939769.51930785,359207544.1353587
156,282177387.7682281,0.04892929292929293,0.0,131606615.62660179,362746443.12214184
